	Control	Control	Control	Control	Control	Control	BOS	BOS	BOS	BOS	BOS	BOS	RAS-B	RAS-B	RAS-B	RAS-R	RAS-R	RAS-R
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0.0625	0.5	0	0.0625	0	0	0.125	0.2	0	0	0.0625	0
6	0	0	0	0	0	0	0.1	0.461538462	0.035714286	0.037037037	0.09375	0.28125	0.107142857	0.32	0.107142857	0.03125	0.068965517	0
7	0	0	0	0.017241379	0	0.025641026	0.290909091	0.454545455	0.085106383	0.047619048	0.208333333	0.222222222	0.142857143	0.363636364	0.211538462	0.054545455	0.076923077	0.021276596
8	0	0	0	0.012048193	0	0.054054054	0.507246377	0.285714286	0.111111111	0.06779661	0.428571429	0.186440678	0.253968254	0.567567568	0.164383562	0.077922078	0.021978022	0.052631579
9	0	0.014925373	0.016666667	0.016949153	0.007751938	0	0.346938776	0.666666667	0.298507463	0.078651685	0.482758621	0.296875	0.303030303	0.40625	0.379310345	0.081395349	0.098360656	0.166666667
10	0	0	0.025	0.013513514	0	0	0.391304348	0.5	0.282608696	0.171428571	0.404761905	0.448275862	0.276923077	0.514285714	0.318181818	0.023529412	0.151260504	0.120967742
11	0.019047619	0	0.076923077	0.030534351	0	0.022727273	0.333333333	0.666666667	0.214285714	0.146341463	0.25	0.518518519	0.491803279	0.4	0.41509434	0.038461538	0.114754098	0.163934426
12	0	0	0.1	0.021276596	0.012658228	0.058823529	0.6	0.25	0.04	0.222222222	0.434782609	0.615384615	0.666666667	0.611111111	0.4375	0.032258065	0.142857143	0.264705882
13	0.023809524	0	0	0.014925373	0.052631579	0.037037037	0.423076923	0.666666667	0.227272727	0.255319149	0.785714286	0.6	0.461538462	0.7	0.157894737	0.11627907	0.333333333	0.246575342
14	0	0	0	0.108695652	0.060606061	0	0.454545455	0.25	0.083333333	0.269230769	1	0.571428571	0.625	0.666666667	0.363636364	0.083333333	0.25	0.342105263
																		
																		
																		
